stars,adverbs,sentiment
5.0,3,0.8309
2.0,7,0.4458
1.0,9,-0.0516
3.0,11,-0.3046
4.0,0,0.9231
5.0,2,0.9305
3.0,12,0.9584
5.0,8,0.961
5.0,4,0.6296
5.0,6,0.9772
5.0,1,0.9636
5.0,5,0.9835
5.0,1,0.9225
3.0,16,-0.3789
3.0,6,0.9656
5.0,3,0.9745
5.0,8,0.9876
5.0,3,0.9632
5.0,5,0.6791
4.0,6,0.8771
5.0,13,0.9741
5.0,3,0.6956
5.0,5,0.9403
5.0,4,0.8221
4.0,5,0.7744
5.0,3,0.9495
4.0,5,0.9299
5.0,1,0.9552
5.0,5,0.9719
4.0,4,0.8336
5.0,8,0.9877
3.0,7,0.9865
2.0,20,-0.8825
5.0,1,0.9606
5.0,14,0.986
4.0,8,0.9767
5.0,4,0.9623
2.0,9,0.6884
4.0,5,0.9603
5.0,6,0.9673
5.0,8,0.9921
5.0,2,0.9682
4.0,0,0.7506
5.0,1,0.7846
5.0,6,0.7777
4.0,8,0.985
5.0,7,0.9604
2.0,3,0.6958
4.0,6,0.9517
5.0,5,0.7964
4.0,1,0.8462
2.0,2,-0.0752
5.0,3,0.9474
4.0,5,0.9219
2.0,6,0.6055
3.0,6,0.9819
5.0,4,0.9235
4.0,8,0.946
5.0,9,0.9745
5.0,1,0.8792
4.0,12,0.9803
1.0,0,-0.8858
2.0,2,-0.6255
5.0,5,0.985
5.0,29,0.9975
5.0,24,0.9984
4.0,4,0.7992
5.0,3,0.9889
4.0,5,0.8519
1.0,14,0.9499
5.0,16,0.9891
4.0,4,0.5719
5.0,7,0.9896
5.0,4,0.34
5.0,6,0.9768
5.0,2,0.945
3.0,5,0.8479
4.0,7,0.9884
5.0,0,0.7959
4.0,1,0.9006
5.0,2,0.8686
5.0,4,0.948
5.0,4,0.9349
2.0,0,0.9432
5.0,1,0.9834
1.0,2,0.7783
4.0,8,0.9569
1.0,4,-0.8108
1.0,7,-0.9255
5.0,4,0.8794
5.0,17,0.9946
5.0,3,0.9793
3.0,7,-0.4747
2.0,2,-0.6244
5.0,2,0.8402
5.0,16,0.9881
5.0,8,0.9785
5.0,5,0.9896
5.0,1,0.9395
5.0,4,-0.8622
5.0,4,0.8087
2.0,8,0.9144
5.0,1,0.9686
5.0,16,0.99
5.0,15,0.9982
4.0,22,0.9586
5.0,5,0.8232
5.0,2,0.8439
1.0,12,-0.8225
2.0,2,-0.296
5.0,2,-0.6331
5.0,3,0.7405
5.0,5,0.9509
5.0,0,0.9449
5.0,7,0.9908
2.0,4,0.9696
3.0,15,-0.4001
5.0,7,0.9784
4.0,5,0.6054
4.0,6,-0.3071
5.0,10,0.9474
5.0,8,0.9923
4.0,1,0.6588
5.0,6,0.9495
5.0,3,0.965
2.0,13,0.8954
1.0,1,-0.6369
4.0,7,0.9431
5.0,10,0.9513
5.0,4,0.9311
2.0,6,0.6351
4.0,18,-0.8479
5.0,4,0.8805
5.0,0,0.9766
1.0,1,0.0772
5.0,8,0.987
4.0,3,0.9186
1.0,12,0.3345
3.0,5,0.71
1.0,10,-0.8784
5.0,2,0.9061
3.0,7,0.7906
4.0,8,0.9929
5.0,7,0.943
1.0,3,-0.3459
1.0,21,-0.9711
5.0,0,0.9878
2.0,2,-0.5451
5.0,11,0.9456
5.0,1,0.7678
2.0,3,-0.3612
4.0,8,0.4476
1.0,5,-0.3783
5.0,3,0.8877
5.0,4,0.9488
3.0,0,0.6597
5.0,1,0.8858
5.0,6,0.9843
1.0,18,-0.0399
5.0,7,0.9289
3.0,11,0.9361
5.0,4,0.8623
5.0,12,0.9807
1.0,12,-0.1048
5.0,8,0.9737
5.0,3,0.9861
5.0,6,0.8842
5.0,4,0.9766
5.0,7,0.949
5.0,3,0.923
5.0,5,0.9606
1.0,11,0.3901
5.0,5,0.5346
5.0,0,0.9795
5.0,4,0.8126
5.0,2,0.959
1.0,10,0.8264
4.0,13,0.9604
1.0,7,-0.6858
1.0,4,-0.5096
1.0,9,0.1376
5.0,3,0.9575
2.0,7,-0.9188
4.0,11,0.959
4.0,6,0.9642
5.0,2,0.9241
1.0,2,-0.2732
5.0,5,0.8057
5.0,8,0.9674
5.0,3,0.705
5.0,7,0.944
1.0,1,-0.9118
1.0,8,0.204
5.0,8,0.9685
3.0,19,0.9528
5.0,8,0.9628
1.0,13,-0.4575
5.0,3,0.9431
5.0,3,0.9728
5.0,3,0.9628
5.0,1,0.8271
3.0,4,0.5105
5.0,2,0.6734
5.0,4,0.8555
5.0,6,0.8922
5.0,2,0.95
4.0,27,0.9864
1.0,5,-0.2263
3.0,5,-0.6527
4.0,5,0.8136
4.0,7,0.594
5.0,3,0.9489
5.0,3,0.8588
3.0,4,0.8791
5.0,7,0.9274
3.0,16,-0.0222
5.0,5,0.98
4.0,12,0.9651
1.0,5,-0.884
5.0,10,0.9931
5.0,0,0.9346
5.0,2,0.967
1.0,1,0.0
5.0,2,0.8481
5.0,3,0.7496
3.0,5,0.9353
3.0,12,0.9678
5.0,2,0.972
5.0,13,0.9948
5.0,6,0.9703
3.0,5,0.891
5.0,10,0.9953
5.0,7,0.9775
1.0,8,-0.3384
5.0,2,0.9413
5.0,1,0.9086
1.0,14,0.7884
5.0,33,0.998
5.0,5,0.9744
5.0,4,0.9862
5.0,5,0.9626
2.0,12,-0.8276
5.0,4,0.9595
4.0,5,0.5994
4.0,4,0.7269
5.0,5,0.8074
5.0,2,0.9605
5.0,0,0.7125
1.0,11,0.7205
5.0,6,0.9897
5.0,1,0.8002
5.0,2,0.75
3.0,0,0.886
5.0,7,0.9312
5.0,10,0.8502
4.0,2,0.9616
5.0,5,0.9759
1.0,4,-0.6551
5.0,7,0.9693
5.0,5,0.9802
5.0,1,0.9377
5.0,10,0.9697
5.0,3,0.9377
5.0,8,0.9886
4.0,7,0.8478
5.0,9,0.9919
1.0,4,-0.7949
2.0,10,-0.7579
5.0,2,0.9167
4.0,8,0.9299
5.0,3,0.9337
4.0,3,0.9715
5.0,3,0.9601
