word,count
one,1539
also,1380
first,1245
new,1245
states,1141
would,1071
time,978
two,944
may,910
used,860
many,768
state,761
world,688
united,669
people,665
war,656
years,647
however,644
number,626
use,620
government,600
u,553
called,523
could,523
american,519
made,518
said,515
three,514
th,511
court,508
later,501
day,499
including,485
well,475
national,452
part,452
year,449
since,436
music,433
public,426
city,419
million,416
law,414
known,413
film,407
work,403
second,397
often,393
gold,386
life,384
although,381
became,377
country,376
found,375
several,374
according,372
like,372
high,367
union,365
south,362
another,360
based,360
century,359
york,359
early,358
g,357
even,348
google,348
much,347
e,343
released,342
general,340
show,340
;,332
president,326
group,325
form,323
around,323
way,322
end,320
following,318
international,318
without,317
album,316
human,315
began,315
population,308
power,304
needed,302
apple,302
four,302
rights,302
system,301
act,300
^,299
within,298
$,298
men,297
single,297
european,296
north,295
using,295
death,293
military,293
dna,292
long,292
example,288
term,287
large,286
history,285
among,285
different,284
major,283
information,283
series,282
jazz,280
political,279
support,276
house,272
flag,271
still,270
case,270
published,268
book,268
set,265
took,264
make,263
congress,263
person,262
led,261
army,261
free,260
name,259
federal,259
us,259
september,258
back,257
song,257
non,256
service,256
place,255
five,253
april,253
band,253
knievel,253
march,252
third,249
times,248
left,248
white,248
take,247
europe,246
june,246
right,246
bison,246
countries,244
al,242
black,239
though,239
due,237
john,235
order,234
wrote,233
civil,233
great,232
july,230
west,229
british,229
per,228
point,228
process,227
forces,227
control,227
blues,227
game,226
party,225
report,224
old,222
small,221
given,220
came,218
others,218
considered,218
intelligence,218
cia,218
january,217
days,217
english,217
original,217
less,216
chicago,216
man,216
battle,215
social,214
action,213
language,213
b,213
citation,212
must,212
announced,212
last,212
western,211
areas,211
december,211
family,211
october,210
november,209
article,209
women,207
become,207
crime,207
lovecraft,207
production,206
age,205
home,205
halo,205
period,204
important,204
stated,204
result,203
see,203
reported,203
similar,203
bin,203
program,202
land,202
common,201
individual,200
georgia,199
biodiesel,199
modern,198
father,198
israel,198
laden,198
along,197
children,196
security,196
held,195
groups,194
force,194
whether,193
area,193
august,193
company,193
included,191
c,190
p,190
final,190
main,190
release,190
constitution,190
search,189
water,187
school,187
hand,187
total,186
written,186
v,186
line,186
making,185
months,185
seven,184
popular,184
taken,183
legal,183
members,183
building,182
late,181
present,181
australia,181
next,180
convention,180
every,179
easter,179
low,178
goldman,178
red,177
team,177
former,177
immigrants,176
research,175
upon,175
local,175
soldiers,175
produced,174
america,174
official,173
received,173
various,172
university,172
internet,172
thus,171
six,171
half,170
evidence,170
rather,170
either,169
never,169
ferraro,169
february,168
river,168
get,168
policy,167
rowling,167
possible,166
cholesterol,166
rate,165
james,165
eu,165
record,164
terms,164
bill,164
fuel,164
reactor,164
best,163
good,162
member,161
created,160
model,160
version,160
level,159
went,159
slavery,159
cases,158
live,157
special,157
higher,157
lead,157
charles,157
brain,157
israeli,156
campaign,155
available,155
established,154
writing,154
african,154
cause,153
need,153
center,153
trade,152
sex,152
dean,152
certain,151
style,151
