word,count
like,1423
think,1296
people,1161
really,1147
one,992
would,961
time,849
know,782
get,778
going,686
well,631
lot,584
us,576
first,555
way,553
good,529
much,528
go,525
new,509
see,505
want,503
back,497
work,494
also,491
something,476
make,474
got,469
music,467
things,455
years,445
say,434
could,408
said,396
always,393
great,390
year,382
thing,377
kind,374
different,372
little,365
even,355
right,337
made,326
take,319
come,316
never,312
many,312
bit,310
two,305
look,295
love,295
film,295
world,293
around,292
still,289
last,281
feel,274
part,271
play,270
wanted,265
actually,260
life,252
working,252
show,249
yeah,238
thought,236
album,231
day,229
every,227
came,227
together,226
quite,226
next,224
best,221
need,220
started,220
big,217
mean,212
q,211
put,210
ever,208
find,207
band,207
making,207
yes,200
u,200
long,199
stuff,196
went,195
interesting,193
another,193
live,193
real,192
experience,191
book,191
let,187
pretty,186
end,186
record,185
game,185
tell,183
sure,182
important,181
set,180
talk,179
process,178
looking,176
songs,176
point,175
movie,175
anything,174
able,174
trying,173
better,173
team,172
king,171
getting,169
guys,169
place,168
since,168
try,167
playing,165
away,165
done,163
story,163
song,163
linda,162
coming,160
start,160
hard,159
use,158
used,158
three,157
everything,156
might,156
give,154
thompson,153
whole,152
read,152
though,152
far,151
maybe,150
oh,148
larry,148
keep,147
old,147
may,145
course,145
change,144
idea,143
man,141
someone,140
worked,138
times,138
car,137
probably,136
n,136
fact,134
took,133
felt,133
question,131
moment,131
called,130
today,128
business,127
guy,127
money,127
seen,126
fun,126
write,125
enough,125
home,124
interview,124
played,124
night,124
person,123
couple,121
knew,121
ago,120
country,120
believe,120
sound,119
fans,119
government,119
already,118
self,118
public,118
yet,116
sort,115
days,115
friends,113
number,112
else,112
writing,112
everyone,111
saying,110
project,109
full,109
saw,109
definitely,108
happy,108
city,108
issue,108
sometimes,107
remember,107
involved,106
school,106
political,105
obama,105
side,105
become,105
guitar,105
loved,105
job,104
vote,103
shows,103
style,103
london,103
young,103
four,103
must,102
talking,102
whether,101
family,101
amazing,101
thinking,101
terms,100
nothing,100
social,100
law,100
ideas,100
mind,99
scene,99
hear,99
nice,98
obviously,98
second,98
comes,98
games,98
understand,97
john,97
case,97
art,97
information,97
th,96
week,96
difficult,96
future,96
seems,96
australia,96
problem,95
industry,95
power,95
found,95
sense,95
almost,95
laughs,95
decolonization,95
cool,94
hope,94
without,94
happened,94
past,93
chance,93
issues,92
president,92
often,92
name,92
makes,91
romney,91
cgc,91
reason,90
