Noun Bi-gram,Count
et al,14
turkey p,6
fig s,6
motor neuron,6
mass loss,6
heart disease,5
litter decomposition,5
cave system,4
d activity,4
heart failure,4
gte egcg,4
mdxcv mice,4
vasa deferentia,4
spore solution,3
mm inner,3
inner diameter,3
p s,3
p phymatodellus,3
p pusillum,3
p alni,3
outer margin,3
cross vein,3
m cua,3
postojna cave,3
pivka river,3
carbon source,3
body weight,3
study period,3
foxo allele,3
sema c,3
ejaculatory bulb,3
nup nup,3
state brazil,2
e brasiliensis,2
growth chamber,2
cfu ml,2
s str,2
str testaceus,2
pusillum fabricius,2
p fasciatum,2
p lividum,2
band disease,2
pathogen vibrio,2
dorsal surface,2
margin; r,2
accessory cell,2
cnemidophorus nativo,2
bahia state,2
traction force,2
traction stress,2
adhesion length,2
dia inh,2
fig b,2
air inflow,2
thyroid hormone,2
hormone th,2
th metabolism,2
type deiodinase,2
deiodinase d,2
triiodothyronine t,2
pressure overload,2
gene program,2
r chodat,2
culture collection,2
tuffryn« membrane,2
wastewater treatment,2
treatment plant,2
plant effluent,2
food consumption,2
consumption index,2
body wt,2
water temperature,2
mg l,2
phytoplankton community,2
community composition,2
s b,2
leaf litter,2
sporulation rate,2
sporulation peak,2
l curvula,2
neuron differentiation,2
element gs,2
fig c,2
p element,2
fig e,2
antibody specificity,2
vnc fig,2
fig g,2
mt mmp,2
bovine serum,2
p cas,2
mm tris,2
cell debris,2
fluorescence microscopy,2
room temperature,2
greenhouse gas,2
co evolution,2
plant litter,2
mm pmsf,2
rab effector,2
▀ recycling,2
plasma membrane,2
attraction fig,2
genus exorista,2
deferentia expand,2
descending arm,2
ascending arm,2
savanna area,1
area cerrado,1
cerrado sensu,1
sensu stricto,1
brazil æs,1
s lycocarpum,1
body part,1
aggregation present,1
field observation,1
brasiliensis nymphs,1
« sony,1
inc california,1
analysis mean,1
deviation sd,1
chisquare test,1
bacillus spore,1
spore concentration,1
count analysis,1
stock spore,1
seed treatment,1
oilseed rape,1
rape b,1
b napus,1
napus cv,1
cv westar,1
sodium hypochlorite,1
soil standard,1
standard soil,1
soil kjord,1
bacillus inoculation,1
plant development,1
water status,1
germination efficiency,1
efficiency number,1
seed development,1
germination rate,1
