Noun Bi-gram,Count
world history,14
time discipline,5
tel aviv,4
jin yi,4
john paul,4
community development,3
pasteur institute,3
world war,3
henry ii,3
porcelain production,3
science fiction,3
population policy,3
paul ii,3
army work,2
latin america,2
henry i,2
robert fitz,2
consumer culture,2
knowledge production,2
factory system,2
taoye tu,2
status quo,2
south africa,2
health problem,2
woman poet,2
selficonizing project,2
holy see,2
world conference,2
apache presence,1
colonialism frederick,1
frederick cooper,1
enhance incorporation,1
labor system,1
manhood achieve,1
achieve status,1
labor freedom,1
colonial society,1
apache case,1
colonial drawing,1
nothing permanent,1
army community,1
gymnasium professor,1
schaevius pastorius,1
bc date,1
geography pastorius,1
pastorius read,1
cosmography pastorius,1
worldæs land,1
land mass,1
jesuit michael,1
michael pexenfelder,1
holy roman,1
roman empireùa,1
language poetry,1
philosopher alain,1
dealer louis,1
louis carre,1
moma show,1
sculpture jeanlouis,1
jeanlouis paudrat,1
paris colonial,1
africa pavilion,1
france underwent,1
profound shift,1
marcel mauss,1
paul rivet,1
musee ethnographique,1
du trocadero,1
georgeshenri rivie`,1
literatureùfrenchlanguage commentary,1
policy congressman,1
metcalfe dil,1
congressman donald,1
fraser dmn,1
city council,1
president gerald,1
gerald r,1
r ford,1
metropolitan america,1
development block,1
block grant,1
grant cdbg,1
cdbg program,1
development movement,1
life today,1
ssprawl congestion,1
government servicesremain,1
robert weaver,1
weaver george,1
george romney,1
washington dc,1
property serving,1
roman law,1
possession; spanish,1
possidetis juris,1
nonaggression interdependence,1
goodö vision,1
harmony bound,1
state intervention,1
john coatsworth,1
coatsworth washington,1
reality construct,1
telegraphic network,1
analoguethe assault,1
colonial subjectivityfor,1
space texts,1
paul scotts,1
scotts raj,1
raj quartet,1
colonial surveyor,1
water desire,1
benita parry,1
colonial identity,1
colonial governmentæs,1
lucien raynaud,1
rockefeller foundation,1
york frederick,1
frederick russell,1
deputy selskar,1
selskar gunn,1
fall gunn,1
advocate raynaud,1
richard pearce,1
maurice violette,1
algeria calmette,1
control group,1
research institute,1
modernistö attempt,1
time calmette,1
laboratory work,1
population density,1
grinding poverty,1
professor wu,1
wu yujin,1
history textbook,1
history model,1
transnationstate narrative,1
historyæs criticism,1
identity formation,1
zhou gucheng,1
education press,1
ôzhou guchengæs,1
guchengæs ideaö,1
war environment,1
socialist system,1
civilization alien,1
world chinaæs,1
globalization process,1
longdistance commerce,1
longdistance trade,1
tortoise shell,1
rock crystal,1
exchange henry,1
henry wright,1
absolute reliability,1
sanje ya,1
porcelain ware,1
stoneware stoneware,1
analysis undertaken,1
trading site,1
production one,1
exchequer system,1
blanch farm,1
county farm,1
farm consistently;,1
empress matilda,1
