Noun Bi-gram,Count
homo erectus,5
fossil record,3
ground level,2
rain forest,2
world war,2
mate choice,2
blood pressure,2
bourn hall,2
feelgood effect,2
hiv virulence,2
savanna baboon,1
living model,1
baboon model,1
tool use,1
use power,1
primate tree,1
male chimpanzee,1
sex life,1
partner combination,1
femalefemale malejuvenile,1
malejuvenile femalejuvenile,1
bonobos rate,1
viking camp,1
gentler land,1
beothuk tribe,1
john cabot,1
greenless greenland,1
winter air,1
woodlike plank,1
mediterranean world,1
sea salt,1
meat; salt,1
salt whale,1
twentiethcentury refrigerator,1
humid weather,1
fastfreezing process,1
forest canopy,1
extreme toughness,1
toughness rarity,1
time i,1
temperate bias,1
level i,1
fact i,1
eye level,1
coachwood ceratopetalum,1
family cunoniaceae,1
warmtemperate rain,1
sprawl i,1
sydney coachwood,1
spelunking club,1
australia i,1
hypothesis cannot,1
evidence present,1
extinction hypothesis,1
rock record,1
impact hypothesis,1
oldtime sage,1
water earth,1
cosmopolitan jacanas,1
carl yon,1
yon linnθ,1
systema naturae,1
crane ardea,1
ardea grus,1
crane heron,1
century audubon,1
ireland scotland,1
south america,1
flight display,1
hind toe,1
genus balearica,1
perching habit,1
genus grus,1
grus ùprimitive,1
behavior balearica,1
skinùbright crimson,1
sarus brolga,1
eve theory,1
foremost proponent,1
work subject,1
gene flow,1
eve hypothesis,1
milford wolpoff,1
peabody museum,1
harvard university,1
study frayer,1
paralyzing illness,1
daniel defoe,1
alexander fleming,1
sulphonamide prototype,1
war science,1
acid pas,1
influenza; methisazone,1
president richard,1
richard nixon,1
cancer president,1
december dr,1
dr william,1
state action,1
disease control,1
typhoid polio,1
life cycle,1
death likewise,1
civilization degenerating,1
decrepitude pompeii,1
senate come,1
human condition,1
creation motif,1
divine creator,1
telescope evolution,1
udder failure,1
insight i,1
lighter drabber,1
iridescent blue,1
art morality,1
morality language,1
gallup poll,1
darwinian i,1
i share,1
pleistocene africa,1
intelligent force,1
science fiction,1
term mesozoic,1
sea level,1
world ancestral,1
sense alternative,1
tyrannosaurus rex,1
mesozoic world,1
subadult son,1
fig tree,1
subadult male,1
departure call,1
mother empathize,1
yearling frozen,1
bridge maker,1
locomotion chapter,1
length snouttovent,1
tubular body,1
left lung,1
right lung,1
body cavity,1
air storage,1
storage area,1
polemon notatus,1
mammallike apparatus,1
squamate hemipenis,1
muscle action,1
surface channel,1
sulcus spermaticus,1
retractor muscle,1
copulations; ottoman,1
squamate arrangement,1
recovery time,1
shape eg,1
ornamentation eg,1
eg presence,1
life span,1
darkness mire,1
concept disease,1
disease meaning,1
death degeneration,1
inner environment,1
kuru syndrome,1
distance kuru,1
aid concert,1
wembley stadium,1
jacobean manor,1
manor house,1
house bourn,1
sitting room,1
clock hasnt,1
child i,1
womenùmy generationùfor,1
dalkon shield,1
male lab,1
lab techs,1
research fellowship,1
chapel hill,1
research council,1
collaborator patrick,1
patrick steptoe,1
washington dc,1
reality layer,1
sheer effort,1
effort i,1
way i,1
breakage i,1
disclosure i,1
negative mould,1
end i,1
fossil i,1
acrosstheboard ban,1
sex education,1
education birth,1
birth control,1
prenatal care,1
abortion issue,1
issue rick,1
latestage abortion,1
press conference,1
abortion debate,1
wifes wellbeing,1
primate order,1
highstatus male,1
matter passionate,1
abortion derive,1
history male,1
male fascination,1
lawbound system,1
world viewùideas,1
master metaphor,1
transmutation hypothesis,1
beagle darwin,1
population darwin,1
variation population,1
population pressure,1
reproduction darwin,1
nature selection,1
muscle mass,1
mass decrease,1
age fifty,1
age none,1
impact; degeneration,1
example skin,1
pigment melanin,1
aging process,1
log =,1
lattice structure,1
entropy therefore,1
boltzmanns entropy,1
entropy concept,1
k pi,1
pi ln,1
ln pi,1
x calories║c,1
scaling factors;,1
formula s,1
s k,1
k ln,1
ln i,1
entropy unit,1
informationentropy tradeoff,1
concept equivalent,1
vice versa,1
conservation law,1
information change,1
entropy change,1
dreamsphenylethylamine pea,1
ruling elite,1
author joan,1
joan roach,1
lover casanova,1
cacoa tree,1
world production,1
fermentation stage,1
cocoa fat,1
chocolate candy,1
word xocalatl,1
xocalatl meaning,1
cocoa tree,1
name theobroma,1
theobroma cacoa,1
pure state,1
state pea,1
fishlike smell,1
ammonia pea,1
carbon dioxide,1
period hiv,1
hiv circulation,1
contact ie,1
ie nonpenile,1
amsterdam cohort,1
virus load,1
virus reproduction,1
food chainthe,1
chainthe hierarchy,1
trophic pyramid,1
living matter,1
course waste,1
effect grass,1
turf fight,1
pleistocene ice,1
ice age,1
temperate zone,1
prevailing cold,1
gamewould edge,1
cave bear,1
planteating niche,1
cheetah leopard,1
gaborone botswanas,1
botswanas capital,1
easternmost expression,1
antelope giraffe,1
giraffe warthog,1
warthog jackal,1
jackal hyena,1
scrubland ideal,1
factor impala,1
okavango delta,1
magkadikgadi loom,1
mopane woodland,1
protein content,1
russel wallace,1
erasmus darwin,1
naturalist lamarck,1
scot robert,1
philosopher daniel,1
daniel dennett,1
benevolent deity,1
life upward,1
evolution biology,1
darwin cycling,1
cambridge university,1
theology student,1
student darwin,1
darwin read,1
nature paley,1
divine design,1
living nature,1
