Noun Bi-gram,Count
world war,4
status quo,4
communist party,3
home front,3
virus infection,3
dinner party,2
abraham lincoln,2
poliomyelitis virus,2
communist empire,2
end result,2
concentration camp,2
clinton administration,2
crucifixion death,1
mass murder,1
transcendence i,1
someone elseæs,1
garrison mentality,1
affirmation devoid,1
theodor adorno,1
holocaust auschwitz,1
jacob neusner,1
turning point,1
shipping association,1
wage hike,1
contract ryan,1
labor turmoil,1
citys coal,1
fuel oil,1
midwinter strike,1
transportation system,1
mayor william,1
william odwyer,1
labor movement,1
strike president,1
president harry,1
citys life,1
war draft,1
worldtelegram reporter,1
unreality hung,1
dream quality;,1
tugboat strike,1
tsar alexander,1
alexander i,1
century diplomacy,1
lack thereof,1
northeast asia,1
ancient empire,1
collapse expansionist,1
shanghai mao,1
china farley,1
mass movement,1
china disorder,1
sun yatsen,1
place chiang,1
kuomintang rule,1
leninist model,1
communist army,1
inland jiangxi,1
jiangxi province,1
province mao,1
mile retreat,1
confidence born,1
victory roosevelt,1
eleanor roosevelt,1
opening session,1
founding conference,1
health labor,1
labor secretary,1
war zone,1
victory tour,1
success i,1
francisco conference,1
future un,1
world bank,1
future secretary,1
state john,1
john foster,1
senator arthur,1
minority member,1
chief concern,1
party official,1
official milovan,1
nothing sweeter,1
pocket roosevelt,1
shrewd observer,1
robert e,1
e lee,1
deputy executive,1
executive director,1
joseph e,1
oneal jr,1
summer oneal,1
potomac river,1
march abraham,1
lincoln spoke,1
philip h,1
h sheridan,1
shenandoah valley,1
field e,1
cherokee delegate,1
confederate congress,1
colonial america,1
conscience save,1
maryland thereby,1
vanguard emancipator,1
life experience,1
warningout law,1
bay state,1
s samuel,1
state assistance,1
ohio river,1
manumission law,1
cafθ duchωne,1
afternoon distribution,1
tobacco ration,1
school attendance,1
midday calm,1
der fⁿhrer,1
fⁿhrer regiment,1
waffen ss,1
ss tank,1
tank division,1
division das,1
das reich,1
town crier,1
marketplace meanwhile,1
town hid,1
market square,1
makeshift school,1
lorraine eightyearold,1
eightyearold roger,1
roger godfrin,1
school building,1
marketplace dr,1
house call,1
mayor paul,1
paul desourteaux,1
town hall,1
inevitability side,1
destiny tom,1
tom paine,1
age john,1
asia africa,1
colonial status,1
way station,1
rearguard action,1
market economy,1
cannot help,1
santa fe,1
colonial society,1
culture language,1
la florida,1
death francisco,1
francisco vßsquez,1
mexico texas,1
texas oklahoma,1
year coronado,1
alabama mississippi,1
mississippi arkansas,1
sotoas secondincommand,1
coast narvßez,1
expedition inland,1
gulf coast,1
report cabeza,1
wherever i,1
book sociology,1
henry hughess,1
consensus lincoln,1
philosophy lincoln,1
william appleman,1
war crisis,1
louis hartz,1
feudal ethos,1
john c,1
c calhoun,1
state sovereignty,1
eighteenthcentury document,1
century justice,1
state legislation,1
war era,1
firsthand experience,1
article i,1
centralizer alexander,1
alexander hamilton,1
recovery israel,1
muslim rule,1
majority intolerance,1
world today,1
vantage point,1
century judah,1
judah halevis,1
halevis phrase,1
phrase prisoner,1
prophet ezekiel,1
virus polio,1
time poliomyelitis,1
world health,1
health organization,1
fever virus,1
immunodeficiency virus,1
virus hiv,1
century evident,1
fear today,1
fever poliomyelitis,1
cow disease,1
virus remain,1
course chapter,1
immune system,1
fever ebola,1
surprise sovietology,1
power apart,1
salient question,1
success story,1
outlaw state,1
world power,1
war i,1
line infantry,1
something i,1
system i,1
dwight d,1
d eisenhower,1
territory fifteen,1
youngster i,1
fashion heroic,1
enemy machine,1
machine gun,1
book therefore,1
poetry hymns,1
solomon i,1
curator editor,1
doggerel folk,1
chain reaction,1
policy community,1
warren christopher,1
confirmation hearing,1
world consisting,1
garrison atmosphere,1
disadvantage secession,1
group quebec,1
approach secession,1
springlike breeze,1
compassionate man,1
bedroom window,1
autumn retreat,1
hyde park,1
mighty hudson,1
friend louis,1
louis howe,1
inland sea,1
crum elbow,1
iron determination,1
outward confidence,1
nerve tissue,1
time man,1
stone age,1
man homo,1
ice sheet,1
land mass,1
arm protruding,1
ice age,1
millennium bc,1
inner bay,1
salt water,1
`sunrise sea,1
salty marshland,1
chalk gravel,1
blood regardless,1
assimilation intermarriage,1
asset confiscation,1
confiscation ghettoization,1
ghettoization deportation,1
crossindexing task,1
gas chamber,1
ibm punch,1
punch card,1
systemùa precursor,1
computer ibm,1
success ibm,1
ibm germany,1
europe card,1
icy automation,1
deutsche hollerith,1
hollerith maschinen,1
maschinen gesellschaft,1
york headquarters,1
party affiliation,1
affiliation ibm,1
ibm ny,1
business relationship,1
software designer,1
source ibm,1
ibm ibm,1
camp ibm,1
ibm germanys,1
germanys headquarters,1
service bureau,1
bureau today,1
history democracy,1
sense democracy,1
century today,1
world warin,1
government democracy,1
writer alexis,1
work democracy,1
roman republic,1
book ill,1
weekend dacha,1
stranger hiding,1
writer aleksandr,1
aleksandr solzhenitsyn,1
solzhenitsyns friend,1
immense relief,1
homeless squatter,1
family dacha,1
bolshevik rule,1
rule lenin,1
lenin archive,1
hiding place,1
kgb memorandum,1
writer intent,1
war criminal,1
research institutes,1
rallying point,1
guiltless view,1
time germany,1
war ii,1
government business,1
president bill,1
state department,1
department official,1
reform meant,1
meant shock,1
shock therapy,1
president boris,1
boris yeltsin,1
fund imf,1
security adviser,1
