Noun Bi-gram,Count
world war,5
temple mount,4
tae choyong,3
word æmassacreæ,3
tang china,2
race class,2
colonial office,2
peace agreement,2
regime liberalization,2
fort dearborn,2
pixodarusæ offer,2
war i,2
war ii,2
roger conant,2
selfdefense force,2
air force,2
defense budget,2
peninsula south,1
bay line,1
choyong tang,1
time empress,1
tang emperor,1
emperor gaozong,1
opportunity tae,1
jilin province,1
province china,1
name k,1
name æparhaeæ,1
formality parhae,1
koguryo territory,1
parhae kingdom,1
successor kingdom,1
tang dynasty,1
parhaeæs use,1
culture parhaeæs,1
koguryoæs successor,1
successor state,1
parhae envoy,1
parhae æhas,1
return message,1
message japan,1
europe chiefly,1
southwest asia,1
supply center,1
east mesopotamia,1
security discourse,1
security terminology,1
iran share,1
israel share,1
eshunna mosaic,1
mosaic law,1
hammurabi code,1
coherent system,1
worldæs core,1
core monotheist,1
judaism christianity,1
today comprise,1
history today,1
book reference,1
hurricane preparedness,1
preparedness emergency,1
poverty race,1
class gender,1
course life,1
society inclusion,1
feminist movement;,1
individualsæ rights;,1
section i,1
john dewey,1
choreographer perform,1
research instrument,1
apache leader,1
leader geronimo,1
horse captain,1
captain jack,1
jack john,1
john ross,1
governmentæs idea,1
indiansæ expense,1
subservient status,1
horn everyone,1
death lakota,1
rock lakota,1
lakota agency,1
government sweep,1
grenada st,1
st lucia,1
ancient regime,1
petit blancs,1
nobility structure,1
unrest revolution,1
war effort,1
wake sir,1
sir ralph,1
war office,1
refugee problem,1
wavering loyalty,1
abolition agitation,1
sideæs core,1
peace process,1
thirdparty enforcer,1
observer mission,1
salvador onusal,1
leftæs right,1
market economy,1
state intelligence,1
intelligence office,1
office reporting,1
assembly call,1
costa rica,1
design manysided;,1
poetry art,1
literature vergilæs,1
style substance,1
man i,1
roman poet,1
culture memory,1
fact junoæs,1
junoæs relentless,1
ancient commentator,1
century ad,1
aeneid i,1
chicago park,1
park district,1
calumet avenue,1
massacre monument,1
dearborn park,1
play lot,1
chicago history,1
discussion community,1
story john,1
park name,1
detroit judge,1
john kinzie,1
indiscriminate killingæ,1
product trading,1
trading worldwide,1
pop culture,1
individualism capitalism,1
capitalism optimism,1
democracy freedom,1
culture speaking,1
example peter,1
peter morici,1
trade commission,1
cinema i,1
california trade,1
commerce agency,1
marketplace issue,1
royal family,1
peace demeratus,1
persia philip,1
lifeanddeath competition,1
court alexander,1
time philipæs,1
power struggle,1
today turkey,1
alexanderæs halfbrother,1
halfbrother pixodarusæ,1
life insurance,1
pixodarusæ domain,1
caria pixodarus,1
pixodarus ignorant,1
son arrhidaeus,1
royal heir,1
heir alexander,1
carianæs daughter,1
arrhidaeus disability,1
fatheræs knowledge,1
risk; alexander,1
cliff edge,1
breathing spell,1
powers; britain,1
britain france,1
john jay,1
shipping access,1
ottoman empire,1
merchant ship,1
ship betsey,1
morocco sultan,1
sultan muhammad,1
muhammad ibn,1
ibn abdallah,1
trading state,1
assassination plot,1
muslim calendar,1
palestine jerusalem,1
byzantine emperor,1
sea palestine,1
caliph omar,1
asia minor,1
byzantine rule,1
khirbat almafjar,1
damascus jerusalem,1
muslim empire,1
jerusalem today,1
alharam alsharif,1
surviving muslim,1
garbage dump,1
abd almalik,1
sacrifice muslim,1
muslim tradition,1
horselike creature,1
quran muhammed&#,1
night journey,1
almasjid alaqsa,1
conservativesæ failure,1
tory england,1
